stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,12.26,0,0,0,0
72hpf,2.14,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,4.28,1.07,0,0,0,0
21Day,0,0,0,2.68,0,1.34,0,1.34,0,0,1.34,0,2.68,0,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0.64,0.64,0,1.6,0,0,0.32,1.28,12.48,1.6,0.64,0.96,0,1.28,1.92,0.64,0.32,0.32,0.32,0,0.32,0,0,0.32
22Month,0,1.64,1.64,7.11,0.55,0,2.73,20.23,68.88,16.95,0.55,15.31,1.09,1.64,4.92,4.92,2.19,2.19,1.09,0,0.55,0.55,2.19,0.55
