stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
21Day,0,0,1.34,5.35,0,0,0,1.34,0,0,0,0,17.4,0,0,0,0,0,0
3Month,0,0.32,0,0,0,0.32,0.64,0,0.64,0.32,0.32,0,0.32,0,0.32,9.92,0.32,1.6,0.64
22Month,0.55,0.55,0,1.09,0.55,1.64,0,0,12.03,0.55,0,1.09,0,0,0,11.48,0,0,0
