stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,4.09,0,134.85,0,0,0,8.17,0,0,24.52,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,37.44,2.14,1.07,0,0,0,0,0,0,0,0,1.07,5.35,0,72.75,0,2.14,26.74,11.77,0,0,158.33,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,38.82,2.68,1.34,0,0,0,0,0,0,0,0,0,4.02,0,95.04,0,10.71,21.42,2.68,1.34,0,153.93,5.35,2.68,0,2.68,0,0,2.68
3Month,1.28,0.96,0,28.16,2.24,0,0.32,1.92,1.92,0,5.76,2.24,0.32,2.24,0.64,21.12,0.96,33.27,4.8,0.96,0.64,0,0.64,0.64,0,1.28,58.55,0,0.64,16,17.6,1.92
22Month,0,1.09,1.09,5.47,0.55,0,1.09,1.09,3.28,1.64,17.49,0.55,1.64,3.28,0,2.19,1.09,13.12,0.55,0.55,0,0,0,0,0,0.55,9.29,1.09,0.55,6.01,0,0
