stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,17.4
3Month,0.32,0.96,0.32,7.68,0.64,0.96,3.84,9.28,2.24,0.32,3.2,2.24,6.4,3.84,0.32,0,0.64,0.32,0,1.28,0.32,0.32,0.64,62.71
22Month,0,0,0,1.09,0,0,1.09,3.83,0.55,0.55,1.09,0,1.09,0,0,0.55,0,0,0,0,0,0,0,21.87
