stage,Epithelial_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,0,8.56,2.14,0,0
21Day,1.34,1.34,5.35,2.68,1.34,2.68
