stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0
72hpf,3.21,0,0,0,0,0,0,0,1.07,0,0,0,1.07,2.14,0
21Day,1.34,0,2.68,1.34,0,0,0,0,0,0,2.68,1.34,1.34,1.34,0
3Month,0,0.32,0.64,0,0,0,0,0.64,0,0.32,0,0,0,0,0.32
22Month,0,0,0.55,0,0.55,0.55,0.55,1.09,0,0,0,0,0,0,0
