stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,11.77,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,2.68,4.02,1.34,0,0,0,0,0,0,1.34,2.68,4.02,1.34,1.34,2.68,2.68,0,0,0,0,5.35,2.68,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,1.28,8.64,27.2,0,0.96,0,29.12,4.16,0,98.54,3.2,0,180.77,1.92,3.52,9.28,6.72,1.92,0,3.52,1.6,1.92,0,5.44,0.64,0,0.64,4.8,8,0.64,0,1.28,1.92,4.8
22Month,0.55,9.29,7.65,30.61,0,2.19,0.55,21.32,5.47,2.73,221.4,1.09,0,193.52,0,4.37,18.59,18.04,0.55,5.47,3.83,0,0,0,6.56,3.28,2.73,1.09,1.09,8.2,1.09,0.55,1.09,0,4.37
