stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,208.41,257.44,1528.32,12.26,20.43,0,8.17,135104.71,0,16.35,89.9,486.28,232.93,841.8,0,0,4.09,866.32,8144.2,12.26,122.59,0,0,32.69
72hpf,7.49,0,1211,1.07,6.42,7.49,0,154.05,0,0,10.7,50.28,2.14,10.7,1.07,1.07,0,84.51,28.88,1.07,14.98,0,6.42,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0
22Month,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0
