stage,Cardiomyocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,1.34,2.68,2.68,1.34,1.34,2.68,0,1.34,1.34,1.34,2.68
