stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,6.42,0,0,0,0,0,0,0,0,0,0,0,10.7,0,5.35,0,0,0,0,7.49,5.35,0,0,0,1.07,0,0,0,0,0,0
21Day,4.02,1.34,0,16.06,1.34,14.72,0,2.68,1.34,0,0,0,0,0,0,0,1.34,2.68,1.34,9.37,0,0,6.69,0,1.34,4.02,0,0,0,6.69,2.68,0,0,4.02,0,0
3Month,0,2.88,0.32,24.32,0,0,1.28,0,2.88,3.52,0,0,161.25,4.16,0,6.72,4.16,15.04,6.72,12.8,1.6,0.64,0.96,1.6,0.32,0,0.64,0.64,0,0,2.56,2.24,0.64,0,2.56,0.96
22Month,0,2.19,0.55,13.12,0,0,1.64,0,2.73,3.28,2.19,0,178.21,0.55,0.55,8.2,1.64,5.47,11.48,20.23,0.55,7.65,1.64,0,0.55,0,1.09,1.09,0.55,0.55,0,0.55,0.55,0,0,1.64
