stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,3.21,0,0,0,0,0,0
21Day,0,5.35,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0
22Month,4.37,6.01,0.55,7.11,49.75,67.79,1.64,0.55,62.32,0,16.95,0.55,3.28,0.55,0.55,0.55,0,1.64,0.55,0.55,0.55,1.64
