stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,10.7,3.21,0,0,2.14,1.07,0,0,0,0,0
21Day,0,4.02,5.35,0,1.34,0,0,1.34,0,2.68,0,0,4.02,0,6.69,0,0,0,5.35,0,0,0,1.34,0,1.34,1.34,1.34,0,1.34
3Month,0.32,1.92,0,0.32,0,0,0,1.6,0.32,0,0.64,0,1.28,0,0.32,0,0.64,0.32,0,0,0.32,0.32,0,1.92,0,0,0,2.24,1.92
22Month,0,1.09,0,0,0,1.09,0.55,4.92,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
