stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,24.52,0,0,0,12.26,269.7,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,2.14,3.21,0,0,0,0,0,0,0,0,1.07,0,3.21,2.14,1.07,6.42,0,0,0,10.7,23.54,1.07,0,0,1.07,0,0,24.61,0,0,0,0
21Day,1.34,0,0,14.72,0,4.02,0,2.68,0,0,0,0,1.34,0,1.34,0,2.68,5.35,1.34,8.03,0,1.34,0,6.69,12.05,0,0,0,1.34,0,6.69,1.34,1.34,0,0,0
3Month,0.32,1.28,0,21.44,0,0,0.32,0,0.32,0.96,2.24,0,16.96,4.48,0.96,7.68,1.92,5.12,4.16,3.52,0.64,0.64,2.24,1.92,0.64,1.6,0.32,0,0.64,0,17.6,0.32,0,1.28,52.15,1.28
22Month,0.55,1.09,0.55,7.11,0,0,1.09,0,0,0.55,6.01,6.56,42.64,2.19,0.55,6.56,0,0.55,4.37,3.83,0,0,0,0,0.55,1.09,1.09,0.55,0.55,0.55,4.37,0.55,0,0,0,0.55
