stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,89.9,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,31.02,2.14,0,21.4,4.28,11.77,0,0,0,0,0,0,0,1.07,0,3.21,42.79,0,152.98,0,1.07,5.35,0,493.17,98.42,1.07,0,154.05,0,0,9.63,0,0,7.49,0,0
21Day,45.51,16.06,0,44.17,5.35,13.39,0,1.34,0,0,0,0,1.34,6.69,6.69,1.34,78.97,4.02,473.84,0,0,58.9,0,153.93,46.85,2.68,2.68,236.92,14.72,0,2.68,1.34,5.35,5.35,0,6.69
3Month,10.88,8.96,0.32,18.56,0,0,0.32,0,0.32,0.64,2.56,6.72,2.24,0.32,1.92,0.96,36.79,2.24,55.67,8.32,0,25.28,0.32,0.96,0.64,4.48,0.32,1.92,0.32,3.52,0.96,0,0,1.6,9.28,1.28
22Month,11.48,4.92,0,2.73,0.55,0,0.55,0,0,0.55,3.83,15.85,1.64,0,0.55,0,4.92,1.09,36.08,0,0.55,20.23,0,0.55,0.55,4.37,0.55,0.55,0.55,3.28,1.64,0,0,0.55,0,1.64
