stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,24.52,4.09,0,12.26,12.26,4.09,0,0,0,0,0,8.17,4.09,98.07,0,53.12,1230.01,0,4.09,0,0,0,0,0,0
72hpf,7.49,1.07,0,2.14,0,4.28,0,0,0,0,0,7.49,0,5.35,0,365.87,9.63,0,4.28,0,0,1.07,0,0,0
21Day,0,0,0,4.02,0,2.68,0,0,0,1.34,1.34,4.02,0,2.68,0,206.13,5.35,0,4.02,1.34,1.34,0,1.34,0,0
3Month,0,0,0.32,0.64,0,0,0.32,1.6,0,0,0.32,0,0.32,0,0,0,0,0,0,0,1.6,0,0,0.32,0.32
22Month,0.55,0,0,0,0,0,0.55,7.65,0.55,0.55,1.09,0,0,0,0.55,0.55,0,0.55,0,0,24.6,0.55,0,0,0
