stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,24.52,4.09,0,24.52,0,0,0,0,8.17,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1087.98,0,0,14.98,3.21,4.28,0,0,0,0,0,0,0,2.14,0,11.77,25.67,2.14,48.14,0,2.14,8.56,1.07,81.3,105.91,0,0,58.84,0,0,14.98,1.07,3.21,0,0,0
21Day,504.63,1.34,0,34.8,2.68,16.06,6.69,0,6.69,0,0,0,0,8.03,2.68,8.03,20.08,5.35,82.99,0,0,13.39,0,32.12,38.82,1.34,0,29.45,8.03,0,6.69,6.69,0,0,0,1.34
3Month,149.42,4.48,0,10.24,0.64,0,3.2,0.32,57.27,2.88,0,12.48,4.16,0,2.88,57.59,10.24,2.88,28.48,5.76,0.32,2.24,0.64,0.64,0,0,0,1.92,1.6,1.92,0.64,0,0,12.8,1.28,2.88
22Month,6.01,12.57,1.09,7.11,0,0,1.09,1.09,10.93,2.19,2.19,13.12,0,1.64,0.55,9.29,3.28,3.83,20.77,2.19,0.55,2.73,0,0,0,0,1.09,0,0.55,0.55,2.19,0,0,2.19,0,0.55
