stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,102.16,0,0,8.17,0,0,0,0,8.17,0
72hpf,0,0,1.07,2.14,8.56,0,0,0,0,0,0,0,1.07,2.14,1.07,12.84,0,0,69.54,36.37,0,0,4.28,0,0,7.49,0,25.67,0
21Day,1.34,0,5.35,0,2.68,1.34,0,0,0,0,4.02,0,0,4.02,0,12.05,0,1.34,14.72,12.05,0,0,8.03,1.34,0,0,1.34,1.34,0
3Month,0,0.32,0.32,0,0,0.32,0,0.32,2.24,0.32,0,0.32,0,0,0.32,0.32,0.32,0.64,0,0,0,0,0.32,0,1.6,0.32,0,3.2,1.28
22Month,0,0,0.55,0,0,0,0.55,1.64,10.39,0.55,0,2.19,0,1.09,0,2.73,0,0,0,0,0.55,0.55,0,0,0,1.09,0,0,0
