stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,4.28,1.07,0,0,0
21Day,2.68,0,117.79,1.34,0,0,0,0,2.68,0,6.69,0,2.68,0,1.34,1.34,1.34,1.34,0
3Month,0,0,48.63,0,0,0,4.16,0.32,0,0.32,3.52,0.32,0.64,0.32,0,0,0,0,0.64
22Month,0,0.55,3.28,0,0.55,0.55,3.83,0.55,0,0,0.55,0.55,0,0,0,0,0,0.55,1.09
