stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,12.26,0,0,0,8.17,0,0,0,0,12.26,0,77.64,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,1.07,0,3.21,3.21,4.28,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,2.68,0,0,1.34,2.68,0,0,0,0,0
3Month,0,0,0.32,0,0,0.96,0,0.64,0,0.32,0.32,0.32,0,0,0.64,24.64,0.96,0.32
22Month,0,2.19,0,0,0.55,2.19,0,0.55,0,0.55,0,0.55,0,0.55,0,25.69,0,0
