stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,3.21,0,0,0,0,0,0,0
21Day,4.02,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,1.34,0,0,0,0,0,1.34
3Month,1.28,0,0.32,0,0.32,0.64,0.32,0,0.32,0,0,0.32,0.32,0,0,0.32,9.28,0.32,0.64,0.96,0
22Month,2.73,0,0,0.55,1.09,4.37,0,1.09,1.09,0,0.55,1.09,0.55,0,0,0,8.2,0,0,0,1.64
