stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,0,0,4.02,0,2.68,0,0,0,0,0,0,0,0,1.34,20.08,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,2.68
3Month,0,0.96,18.24,0,0,1.28,12.48,0.64,0,5.76,3.2,1.6,0.96,0,6.4,5.76,5.12,5.44,0,0.32,1.92,0,1.6,0,0,0.96,0.96,0,1.6,5.44
22Month,1.09,7.65,14.76,0.55,0,1.09,27.33,3.28,8.2,319.25,4.37,4.92,7.65,1.09,3.28,12.03,5.47,0,1.09,1.09,0.55,1.09,2.73,0.55,0,0,3.28,0.55,0,9.29
