stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,20.43,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,13.91,1.07,1.07,0,0,10.7,4.28,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,1.34,0,32.12,0,2.68,0,0,0,0,0,1.34,2.68,8.03,0,12.05,5.35,6.69,0,0,0,6.69,2.68,0,0,0,0,1.34,1.34,1.34,0,0,12.05
3Month,0.32,0.32,1.6,26.56,0.32,0,0,2.56,11.84,0.32,0,1.92,33.91,0.64,7.36,4.16,3.52,3.84,0.96,1.92,0,0.64,0,1.28,0,0,0,1.28,0,0,0.64,0.64,14.08
22Month,0,0,0.55,11.48,0,0,1.09,0.55,24.6,1.09,0,5.47,14.21,0.55,14.76,1.09,0.55,6.01,2.19,1.64,0.55,0,0,0.55,0.55,0,0.55,0,0,0,0,0,6.01
