stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,110.33,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,22.47,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,17.12,1.07,4.28,0,0,1.07,0,0,0,0,0,0
21Day,41.49,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,10.71,1.34,0,0,0,0,0,1.34,2.68,0,0,0
3Month,0,0.32,0.32,7.68,0,0,0.32,0,0.32,0,2.88,0.96,0.32,1.28,0.96,0.64,0.96,0,0,0.32,8.32,0.32,2.56,0.32,0,0.32,12.16,0,0,0.32,16,1.28
22Month,0.55,0.55,0.55,1.64,0,0,0,0.55,1.64,0.55,12.03,0,0.55,1.09,0,0.55,0,0.55,1.09,0,2.19,0,0.55,0,0.55,0,1.09,0,0,0,0,0
