stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,2.14,0,3.21,0,23.54,20.33,0,0,0,0,0,0
21Day,0,2.68,2.68,0,0,0,0,0,0,0,0,2.68,0,0,0,10.71,4.02,0,0,2.68,1.34,0,0
3Month,0.32,2.88,0,0.32,0.64,1.28,0.64,3.2,0.32,0.32,0.64,0.64,0.96,0,0.32,0,0,0.64,1.6,29.76,0.32,0.32,17.6
22Month,0,1.64,0,0,0,0,0,6.01,0,0,0,0,0.55,0,0,0,0,0,0,1.09,0,0,0
