stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,2.14,3.21,1.07,0,0,0,0,1.07,0,0,0
21Day,0,1.34,0,0,1.34,0,0,1.34,6.69,5.35,4.02,0,0,5.35,0,6.69,2.68,0,0
3Month,0.32,1.6,0,0,1.6,0.64,0.32,0.64,0.64,0.32,0,0.32,0.32,0,1.28,0,0,0.64,0.64
22Month,0,0.55,0.55,0.55,6.56,0,0,0,1.09,0.55,0,0,0,0,1.09,0.55,0,0,0
