stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,46,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,5.35,0,1.34,1.34,0,0,0,0,2.68,0,0,0,0,0,8.03,0,52.2,6.69,0,0,0,0,1.34,2.68,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,36.47,0.32,20.16,0,0.32,0.32,0,1.6,91.19,0.96,48.63,4.48,0,3.52,9.28,1.92,408.26,8,3.2,0.64,0.96,3.2,0.32,0,0,0.64,0,1.6,1.6,2.24,0,0,0,6.4,1.92
22Month,0,60.13,8.2,55.76,0,0,1.09,0.55,9.84,156.34,370.09,1032.08,8.75,12.57,12.57,13.67,3.28,1500.02,13.67,0,29.52,4.37,0,2.73,0.55,20.23,3.28,1.09,0,1.64,0,0.55,0.55,0,0,10.93
