stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,4.28,8.56,0,7.49,0,0,0,0,13.91,20.33,0,0,0,3.21,0,0,4.28,3.21,0,3.21,0,0,0
21Day,4.02,1.34,0,12.05,0,0,0,0,0,0,0,0,1.34,1.34,0,2.68,2.68,12.05,0,0,5.35,0,12.05,21.42,0,0,0,1.34,8.03,0,56.22,5.35,1.34,1.34,0,1.34,1.34
3Month,3.2,3.84,7.04,67.51,0.32,4.16,2.24,16,21.44,0,83.83,27.2,3.52,37.11,8.96,17.92,18.88,24.64,5.12,0.64,6.72,17.6,6.08,1.6,5.76,3.52,0,2.56,34.55,0.32,4977.45,5.12,0,0,22.72,1550.15,18.88
22Month,0,5.47,3.28,20.23,0,0.55,0,6.01,11.48,3.28,92.38,4.92,3.28,20.23,2.73,2.19,13.67,10.39,0,4.37,0.55,3.28,8.75,1.64,4.37,2.73,15.85,2.73,6.56,0,2264.24,2.73,0,0.55,1.09,9.84,7.11
