stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,2.14,0,0,1.07,0,0,1.07,0
21Day,0,0,0,0,0,0,0,2.68,0,2.68,0,2.68,2.68,0,0
3Month,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0,0,0,19.2,0,3.52
22Month,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0
