stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,57.21,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,8.17,77.64,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,28.88,10.7,0,9.63,1.07,6.42,0,0,0,0,0,0,0,2.14,0,1.07,13.91,2.14,160.47,1.07,1.07,17.12,0,64.19,124.1,2.14,1.07,0,139.07,0,0,233.21,0,0,1.07,0,0,0
21Day,50.86,21.42,0,25.43,0,17.4,4.02,0,0,0,0,2.68,0,13.39,2.68,0,12.05,1.34,331.96,0,0,48.19,1.34,41.49,52.2,2.68,5.35,0,107.08,22.76,4.02,238.26,5.35,6.69,8.03,1.34,0,2.68
3Month,1.92,6.4,0.32,18.88,0.32,0,0.32,4.8,1.6,2.88,0.32,7.68,4.16,2.56,3.2,1.92,3.2,3.2,30.08,3.2,0,17.28,2.56,0.96,1.6,1.92,1.28,0,0.64,0.32,35.83,7.68,0,0,0,1.6,46.39,0.96
22Month,0,3.28,0,12.03,0,0,0.55,1.09,0,6.56,1.64,37.17,2.73,4.92,8.2,1.09,1.64,2.73,18.04,1.09,1.09,15.31,0.55,1.09,3.83,1.09,1.09,1.09,0,0,36.08,15.31,0.55,0,0,0.55,0,0.55
