stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,4.28,0,0,0,0
21Day,2.68,0,0,0,5.35,0,0,0,0,1.34,0,0,0,1.34,2.68,0,0,0,0,0
22Month,0,4.37,0.55,3.28,0,1.64,2.73,1.09,20.77,1.64,1.64,1.09,6.01,2.19,0.55,0,1.09,0.55,1.09,3.83
