stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,18.19,0,2.14,0,4.28,0,0,13.91,7.49,0,0,2.14,0,0,1.07,1.07,2.14,0,0,0
21Day,4.02,0,0,8.03,0,0,0,0,0,2.68,0,0,1.34,5.35,0,2.68,0,0,4.02,0,8.03,5.35,0,0,2.68,0,0,2.68,0,0,0,0,0
3Month,0,0.96,0.32,3.84,0,0.32,0,0.32,0,207.01,2.24,7.36,1.28,1.6,0.64,2.24,0.64,0,0.64,2.24,0.32,0.32,0.64,0.32,0,2.56,3.2,0.64,0,0,0.32,59.19,0.32
22Month,0,1.09,0,4.37,3.83,0,1.09,4.37,0.55,305.03,1.64,3.28,0,0,2.19,3.83,0,15.31,1.09,0,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0
