stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,3.21,0,0,0,0,0,0,2.14,0,0,40.65,1.07,0,1.07,0,0
21Day,2.68,0,6.69,1.34,2.68,0,0,0,2.68,0,13.39,4.02,0,34.8,2.68,4.02,0,0,0
3Month,0,0,0.64,0,0,0.32,0,0.32,0,0.32,0.32,0,0.64,0.32,0,0,0,0.32,0
22Month,0,0.55,0,0,0,0.55,0.55,2.19,0,0,0,0.55,0,0.55,0,0,0,0,0.55
