stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,77.64,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,10.7,0,0,21.4,0,0,0,0,0,0,0,1.07,0,0,3.21,0,7.49,0,1.07,1.07,110.19,16.05,0,13.91,0,0,0,17.12,4.28,0,2.14,0,0,0
21Day,2.68,8.03,0,2.68,68.27,0,41.49,0,0,0,0,0,0,0,0,0,1.34,8.03,0,0,2.68,54.88,17.4,0,9.37,2.68,0,0,13.39,2.68,5.35,4.02,0,0,1.34
3Month,0,2.88,4.16,0.32,0,1.28,0.96,0.96,0.32,0.32,4.16,0.96,0,0.64,0.32,0.64,0,5.44,0.96,0,0.64,2.24,0.64,0.32,0,0.32,0.32,6.08,1.6,0.32,0,0,0.32,7.36,0.32
22Month,0,12.57,5.47,0.55,0,1.09,0.55,1.64,2.73,5.47,15.85,1.09,0,2.19,0.55,0,0.55,7.65,0.55,0,1.09,7.11,0.55,1.64,0,0,0,1.09,3.28,6.01,0,0.55,0,0,0
