stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,16.35,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,1536.49,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,3.21,34.23,1.07,0,0,0,1.07,0,0,0,1.07,38.51,1.07,7.49,0,0,0,0,310.24,142.28,8.56,4.28,1.07,1.07,0,44.93,5.35,1.07,3.21,0,0,0
21Day,4.02,0,4.02,9.37,4.02,0,0,0,1.34,0,0,1.34,0,10.71,0,12.05,0,0,0,0,92.36,64.25,0,8.03,0,2.68,0,28.11,12.05,12.05,2.68,0,0,0
3Month,0,0.32,4.8,1.28,0,1.28,0.96,0,5.76,26.56,0.32,2.56,0,3.52,0.96,4.48,0.64,0.32,0.96,0.64,6.72,0.96,2.88,1.92,0,0.64,15.04,0.96,0,0,0.64,0.32,1.28,0.32
22Month,0,0.55,1.64,1.09,0,1.64,1.09,0,19.68,2.19,0,3.83,0,1.09,1.09,1.64,0,0.55,0,0,2.73,0,3.28,2.73,0.55,0,11.48,1.64,6.56,0,1.09,0,0,0
