stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,83.44,17.12,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,14.72,0,2.68,0,0,0,0,0,1.34,2.68,0,5.35,1.34,5.35,0,0,1.34,0,78.97,4.02,0,0,2.68,0,0,1.34,4.02,0,0,1.34
3Month,0.32,9.92,0.32,14.08,0.32,0,0.96,1.92,0.32,8.32,0.96,0,2.24,0.32,11.52,3.52,6.72,0.32,0,1.92,0.32,1.28,0,0.32,0.32,0.32,1.28,7.04,0.64,0,98.22,2.56,2.24
22Month,0,7.11,0,0.55,0,0,0,2.19,0,24.05,1.09,0,6.56,1.09,0.55,0,2.19,0,1.09,0.55,0,0,0,0,0,0,0.55,4.37,0,0,21.32,0,0
