stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,1.07,1.07,0,0
21Day,1.34,1.34,1.34,0,2.68,1.34,0
3Month,0.32,0,0,0,0,0,0.32
