stage,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0.32,1.28,9.92,0,1.6,2.24,4.8,1.28,0,19.52,0.32,1.28,1.28,0.32,0.32,0.32,1.28,0,0.96,0.32,11.84,0,0.64,7.04,7.04
22Month,3.28,2.73,8.75,0.55,3.28,7.65,16.4,2.19,1.64,30.07,0,0,7.11,1.09,0,1.64,0,1.64,0,0,7.65,0.55,0.55,0,3.28
