stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,18.19,13.91,1.07,0,0,2.14,2.14,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68,1.34,9.37,0,1.34,0,8.03,1.34,0,0,1.34,0,0,1.34,0,0,2.68
3Month,0.32,1.92,0,1.92,0,0.32,1.28,0.32,1.28,0.96,1.92,1.6,0.64,0.96,2.24,2.88,2.56,0,0.64,0.96,0.32,0,0,0.32,18.88,0.32,0,0,0.64,4.8,8.32
22Month,0,1.64,1.09,15.31,0,0.55,0,2.19,10.39,17.49,3.83,5.47,13.67,0.55,2.73,17.49,2.73,2.19,1.09,0,0,0,0.55,0,16.95,0,0,0,0.55,0,14.76
