stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,24.52,73.56,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,2.14,4.28,0,4.28,0,0,0,216.1,28.88,0,0,3.21,0,0,4.28,0,0
21Day,1.34,0,0,2.68,0,4.02,0,0,0,1.34,0,0,0,0,0,0,0,0,0,56.22,4.02,0,5.35,0,1.34,0,1.34,0,0
3Month,0,0,0,3.2,0,0,0.32,0.32,0.64,3.52,0.96,4.8,0,0.96,0.32,0.96,0.32,0,0.64,1.28,0.32,1.28,3.52,0,0.64,1.28,0,0.32,0.32
22Month,0,0.55,1.09,3.28,0,0,0,0,1.64,17.49,1.09,7.65,0,0,1.64,1.64,0,0.55,1.09,2.19,0,0.55,3.28,0,0,2.19,0,0,0
