stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast
72hpf,1.07,1.07,0,0,0,1.07,0
21Day,0,2.68,1.34,1.34,1.34,0,1.34
