stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0,0.96,0,0,0,1.28,0,0.32,0.32,0.32,0.32,0.96,0.32,0.64,0.32,0.32,0.32,0,0,0.64,0,0.64,0.64,0
22Month,1.09,2.73,0.55,5.47,1.64,10.93,3.83,1.64,1.09,1.09,1.09,2.19,2.73,0,0.55,0,0,0.55,0.55,1.09,0.55,0,0,0.55
