stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,26.74,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,4.28,0,0,0,0,3.21,0,0,1.07,0,0,0
21Day,0,0,0,46.85,0,1.34,0,0,0,1.34,0,0,0,1.34,2.68,0,5.35,0,0,0,0,5.35,1.34,0,0,1.34,40.16,0,0,0,0,0,0
3Month,0,0.32,1.6,798.59,0,0.32,2.24,4.48,0,21.44,4.8,1.28,11.2,3.2,7.04,2.24,7.36,0.96,0,1.6,0.32,0.96,0,1.92,0,1.28,76.15,1.92,2.88,0,2.24,4.16,5.12
22Month,1.09,7.65,2.73,2948.11,3.83,0,6.01,13.67,23.51,102.77,4.92,1.09,30.07,0.55,1.09,9.29,16.4,1.09,2.73,8.2,0,0.55,1.09,9.84,0.55,0,110.42,0,0.55,0,9.29,0,6.01
