stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0
3Month,0.32,0.96,0,0.32,0.32,2.88,0.32,0.96,0.64,1.6,0.32,0,0.32,0,0,0,68.79,16,1.28
22Month,0,0,0,0,0,7.11,0,0,0,0,0,1.09,0,0,0,0.55,9.29,0,0
