stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0.96,0,0.32,0.32,0.64,0.32,0.32,0.32,0,0,17.28,0.32,0.64
22Month,0,0,0,0.55,2.73,0.55,0.55,0,0,0,0,0,0
