stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,3.21,0,3.21,0,0,0,0,0,0,14.98,0,3.21,0,0,0,423.64,23.54,6.42,28.88,5.35,0,0,5.35,0,0,0,0,0
21Day,5.35,0,1.34,4.02,1.34,1.34,1.34,0,0,0,1.34,2.68,21.42,0,6.69,0,0,0,169.99,2.68,14.72,17.4,5.35,1.34,0,6.69,1.34,4.02,0,0,5.35
3Month,0,0,0,2.56,0,0,0,0.64,3.2,0.64,0,0.64,3.84,0.96,1.28,0.32,0,0.64,2.24,0.32,13.12,0.64,0,0,3.52,0.32,0,0,0.64,2.56,0.96
22Month,0.55,1.64,0,1.09,0,0,0,2.19,10.39,0.55,0.55,4.37,1.64,3.28,2.19,0,1.09,0.55,3.28,0,13.12,3.83,0,0,16.95,1.09,0,0,0,0,0
