stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,12.26,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,1.07,2.14,0,0,0,0,0,0,0,0,0,9.63,12.84,2.14,1.07,0,3.21,1.07,0,11.77,12.84,0,0,2.14,0,0,0,2.14,0,0,0
21Day,6.69,2.68,0,70.94,1.34,6.69,2.68,1.34,2.68,0,0,0,0,5.35,2.68,6.69,24.09,2.68,12.05,0,0,4.02,0,12.05,12.05,0,1.34,1.34,5.35,0,1.34,1.34,0,0,1.34
3Month,0,0,0.32,17.28,0.32,0,0,2.56,0.64,0,0,16,0.64,0.64,6.4,1.6,6.4,1.6,1.6,0.64,0,0.96,1.28,1.28,0.32,0.96,0,0,0.32,5.44,0,0,0.64,0.96,1.28
22Month,0,0,1.64,3.28,0,0,0.55,0.55,2.19,6.56,0,47.56,0,0.55,8.2,0,1.09,1.64,2.73,0,2.73,1.09,0,0.55,0.55,1.09,0.55,0,0,1.64,0,0,0,0,0
