stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,T_cell
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,6.42,2.14,0,0,2.14,0
21Day,1.34,2.68,0,0,1.34,0,0,0,1.34,0,0,2.68,0,4.02,0,1.34,1.34,0,0,0,0
22Month,0.55,2.73,0,0.55,9.29,0.55,9.84,1.09,1.64,0.55,0,0,9.84,0.55,0.55,0,0,1.64,0.55,0,1.09
