stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,2.14,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0.96,0.64,11.2,0,0,1.92,0,0,0,0,0.32,0,0,0.64,0,0.32,0
22Month,1.64,0.55,1.09,0,27.88,0.55,0.55,1.64,0,1.09,1.09,0.55,0,0,0,0,1.09,0,1.09
