stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,5.35,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,21.4,1.07,0,0,0,0,0,0
21Day,14.72,0,1.34,1.34,1.34,0,0,0,0,0,0,28.11,0,0,2.68,1.34,0,1.34,60.23,1.34,0,0,0,1.34,0,34.8
3Month,0,0,0,0.96,0,0.32,0.32,0,0,2.88,0.96,0,0.96,0.32,1.92,0,0.32,0,0.32,0,0.32,0,1.6,0,7.04,14.72
22Month,0,0.55,0,0,0,0,0,0.55,1.09,3.28,0,0,0.55,0,1.09,0.55,0,0,0,0.55,0,1.09,0,0,0,7.65
