stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,3.21,0,0,7.49,5.35,0,16.05,1.07,0,0,1.07,2.14,0,0,0
21Day,2.68,0,0,8.03,1.34,0,0,0,1.34,0,2.68,2.68,0,0,0,5.35,0,1.34,1.34,2.68,1.34,6.69,1.34,0,1.34,1.34,0,0,0,0
3Month,0,0,0.32,2.88,0,0,0.96,1.28,9.92,0.32,0,7.04,0,0.64,0,1.92,0,0.64,0.96,0,0,0.32,0.96,2.56,0.32,0,0,0.32,1.92,0.32
22Month,0,0.55,0,0,0,0.55,1.09,0.55,70.52,0,0,8.2,0.55,0,0.55,1.64,1.64,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0.55
