stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,52.2,0,0,0,0,0,0,0,0,0,261.01,1.34,1.34,0,0,12.05,5.35,0,0,1.34,1.34,0,4.02,0,0,0
3Month,0,0,391.94,0,0.64,0.32,1.92,1.28,11.52,2.88,3.84,0.32,5.76,1.92,2.24,0.32,0.64,0,0,0.32,9.6,0,0,20.16,0,0.96,3.84,2.56
22Month,0,0,22.96,0,0,0,0,1.09,2.73,0,0.55,0,0,1.09,0,0,0,0.55,0,0,0.55,0,0,3.28,0,0,0,0
