stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,37.44,2.14,2.14,0,1.07,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,10.71,0,1.34,0,0,1.34,1.34,0,0
3Month,0,0.96,0.64,0.32,1.6,1.28,0,1.6,3.52,0,0.32,0.32,0,1.28,0,6.72,0.64,0,0.32,13.76,3.52,0.32
22Month,0,1.09,1.09,0.55,9.29,0,0,1.09,0,0.55,1.09,1.09,0.55,2.19,0,9.84,0,0.55,0,26.24,0,0
