stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0.64,0.64,7.68,0,0.64,0.64,12.16,1.28,0.32,7.68,0.64,1.6,2.88,1.6,0.32,0.32,0,0,0.32,0.96,0.32,1.28
22Month,0,0.55,1.09,0,0,0.55,0,2.73,0,0,2.19,0,0,1.09,1.09,0,0,0,0,0,0.55,0,0
