stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,130.76,36.78,0,69.47,0,4.09,0,0,0,0,0,0,12.26,4.09,4.09,478.11,0,0,0,0,49.04,899.01,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,7.49,5.35,0,3.21,3.21,0,0,0,0,0,0,0,5.35,9.63,0,53.49,0,0,0,0,281.36,74.89,0,6.42,55.63,0,0,46,0,1.07,0,0,0
21Day,38.82,0,1.34,5.35,1.34,0,0,0,1.34,0,1.34,1.34,0,4.02,0,81.65,0,0,4.02,0,8.03,5.35,0,0,38.82,4.02,0,9.37,2.68,0,0,0,1.34
3Month,0.32,1.28,5.12,15.04,0,0,2.24,1.28,10.56,1.28,0.32,34.23,0,0.64,0.96,31.67,0.32,0,3.84,11.52,0.32,0,3.52,0.32,0.32,0.64,20.16,0,0,0,0.96,3.52,0.96
22Month,0,0,2.73,14.21,0,0,3.28,1.64,17.49,0,0,30.07,0,0.55,1.09,13.67,0,1.64,1.09,1.09,0.55,0.55,0.55,1.09,0,1.64,12.03,1.09,0,0,0,0,0
