stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0
3Month,0,0,0,1.6,0,0,0,0.32,0,0.64,0,0,0.32,0,0,0,0,1.6
22Month,0.55,2.19,1.09,9.29,3.83,8.2,61.23,11.48,0.55,33.89,0,1.09,2.19,1.64,1.64,0.55,1.64,2.73
