stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,1.07,0,3.21,0,0,0,47.07,1.07,1.07,0,1.07,0,0,1.07,1.07,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0,1.34,0,2.68,0,32.12,1.34,0,0,1.34,2.68,0,0,0,0,0
3Month,0,0.64,0.32,0.96,0,0.32,0,0.96,1.28,0.32,1.28,0,1.28,0.64,3.2,0.32,0.64,0,0.64,0,0,0,2.88,0,0,1.28,0.32
22Month,0,0,0,0,0,0,0,0,1.09,0,0,0.55,0.55,0,0,0,1.09,0.55,0,0.55,0,0,0.55,0,0,0,0
