stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,32.69,0,0,0,0,0,0,0,0,0,0,8.17,0,0,44.95,0,0,0,0,12.26,118.51,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,0,14.98,3.21,4.28,0,0,0,0,0,0,0,0,5.35,10.7,0,16.05,0,0,0,0,161.54,18.19,1.07,2.14,37.44,0,0,0,2.14,0,1.07,0,0,0
21Day,22.76,0,0,100.39,4.02,5.35,0,0,1.34,1.34,0,2.68,0,4.02,0,44.17,1.34,108.42,0,0,12.05,0,73.62,12.05,1.34,5.35,44.17,4.02,0,1.34,1.34,5.35,0,0,0,1.34
3Month,0,0.64,0,19.2,0,0,0,0.32,2.88,0.96,0.32,13.12,0.64,4.48,1.28,7.04,0.32,2.88,0.32,0.32,0,0.32,0.96,0,1.92,0,0,0.32,1.6,0,0,0,0,0.32,0.32,1.28
22Month,0,0,2.19,12.57,0.55,0,1.64,0.55,2.73,0.55,8.75,57.95,0,6.01,0.55,1.09,2.19,13.67,0,1.09,1.64,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1.09
