stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0
3Month,0.32,3.2,0,0,4.48,0.32,0.32,2.24,0,3.2,0.32,0.96,0,0.32,0,0.32,0.32,11.84,3.2,0.32
22Month,0,1.09,0,0.55,12.03,0.55,0,0,1.09,0,0.55,0.55,1.64,0,0,0,0,0,0,0
