stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,4.09,0,28.6,0,0
72hpf,0,3.21,0,0,0,0,8.56,0,0,4.28,3.21,0,1.07
21Day,6.69,0,0,0,0,0,0,0,1.34,1.34,2.68,1.34,0
3Month,0,0,0.32,0.64,0,0,0,0.32,0,0.32,0,0,0
22Month,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0
