stage,Enterocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Muscle_cell,Primordial_germ_cell
21Day,0,0,0,1.34,1.34,0,5.35
3Month,0,0,0.64,0,0,0.32,0.64
22Month,0.55,0.55,2.19,0,0,0,0.55
