stage,Epithelial_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell
72hpf,0,0,0,0,0,1.07
21Day,1.34,0,0,1.34,0,0
3Month,0,0.32,0.32,0.32,0.32,0
22Month,0,0,1.64,0.55,0,0
