stage,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,T_cell
72hpf,1.07,0,1.07,1.07,0
21Day,1.34,0,0,0,0
3Month,0.32,0.64,0,0,0.64
