stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,0,0.32,0.32,0.32,0.32,0,0.32,0.32,0,2.88
22Month,0.55,0,0,3.83,0,1.09,0,1.09,0.55,0
