stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,18.19,2.14,0,0,1.07,0,0,18.19,37.44,0
21Day,2.68,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0,4.02,0,0,0,8.03,2.68,0,0,0,2.68,0,70.94,410.93,0
3Month,0,0,0.32,5.12,0,0.32,0,0.64,0.64,0,16.64,2.56,0.32,3.2,0.64,1.92,0.32,1.92,0.64,0,0.64,2.56,0,0,0,0,1.28,0.96,0,0,0.96
22Month,0,4.37,2.73,10.93,0,1.09,1.64,3.83,7.11,3.83,236.7,6.01,2.19,14.76,0.55,1.09,7.65,14.21,0,9.84,0.55,2.19,0.55,1.09,0.55,0.55,0,2.73,7.65,1.09,2.73
